gene_id,description,gene_biotype,sequence_class,seqid,contrast_family,contrast_id,numerator,denominator,log2FoldChange,padj,higher_in
LOC126266597,uncharacterized LOC126266597,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.4772558046774242,1.134655362794975e-4,Average infected
LOC126292302,uncharacterized LOC126292302,lncRNA,Nuclear chromosome,NC_064928.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.1643910661184333,1.1463353983511732e-4,Average infected
LOC126284795,uncharacterized LOC126284795,lncRNA,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,-2.0708101413897846,1.173179602739821e-4,Average control
LOC126284005,uncharacterized LOC126284005,lncRNA,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,2.1535403557675163,1.1876329074354705e-4,Average infected
LOC126356349,cuticle protein 16.5-like,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.5958998855248137,1.2073983612777926e-4,Average control
LOC126299157,protein suppressor 2 of zeste-like,protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.106491368739665,1.2168122088522492e-4,Average control
LOC126266685,proton-coupled amino acid transporter 1-like,protein_coding,Nuclear chromosome,NC_064923.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.21994219438907,1.2673143296035552e-4,Average infected
LOC126267280,adhesive plaque matrix protein 2-like,protein_coding,Nuclear chromosome,NC_064923.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.5257347857447932,1.2873452527533137e-4,Average control
LOC126336514,sterol O-acyltransferase 1-like,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.1980732188256618,1.3021725845593595e-4,Average infected
LOC126356364,retinol-binding protein pinta,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.5964546975891882,1.3033113831082503e-4,Average infected
LOC126354904,retinol dehydrogenase 14,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.037559158179128,1.303485216335918e-4,Average control
LOC126298299,Krueppel-like factor 2,protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.201259845623194,1.3136781694886432e-4,Average control
LOC126284694,endocuticle structural glycoprotein SgAbd-5-like,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,-2.546493347415968,1.3226065060811478e-4,Average control
LOC126281672,D-aspartate oxidase,protein_coding,Nuclear chromosome,NC_064926.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.2621610754450696,1.339609510844785e-4,Average control
LOC126284250,uncharacterized LOC126284250,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.3478661151150741,1.3508713056879733e-4,Average control
LOC126347090,uncharacterized LOC126347090,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.4695565041339946,1.3512169736137756e-4,Average infected
LOC126354818,chitooligosaccharidolytic beta-N-acetylglucosaminidase-like,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.1343247901601197,1.3966973687306735e-4,Average control
LOC126278519,orexin/Hypocretin receptor type 1-like,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.1031380361121184,1.4064228852507526e-4,Average control
LOC126284765,serine protease inhibitor I/II-like,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.78033082947961,1.413817989114529e-4,Average control
LOC126277899,tubulointerstitial nephritis antigen-like,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.29581290053134,1.4246033952036732e-4,Average infected
