"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
3314,"LOC126297857","positive regulation of invadopodium disassembly","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.23809121815694,0.00801088444582461,2.35080447187281,"1057","Higher than gene average"
3315,"LOC126278382","Ras of Complex, Roc, domain of DAPkinase","Infection within diet","No phase DEG",3,"Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",5.20057000104921,8.38896010314294e-05,3.59046331990706,"1016","Higher than gene average"
3316,"LOC126353933","carboxy-lyase activity. It is involved in the biological process described with cellular amino acid metabolic process","Infection within diet","No phase DEG",2,"Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.80427954247188,0.00013611919680336,2.80922747831872,"1016","Higher than gene average"
3317,"LOC126335231","Vault protein inter-alpha-trypsin domain","Infection within diet","Thorax phase DEG only",2,"Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.42009141844277,0.040467441454121,2.81812040737706,"1058","Higher than gene average"
3318,"LOC126354672","F-box only protein","Infection within diet","No phase DEG",3,"Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.6265988629933,0.0242115854584222,2.57195516700697,"1058","Higher than gene average"
3319,"LOC126334646","no description","Infection within diet","No phase DEG",1,"Diet 83: infected vs control","Upregulated",1.52632070862816,0.0214436765051737,2.67986836533316,"1029","Higher than gene average"
3320,"LOC126273103","Ferric-chelate reductase 1","Infection within diet","No phase DEG",1,"Diet 83: infected vs control","Upregulated",1.04648364902692,0.0309828071651806,2.32468259741955,"1023","Higher than gene average"
3321,"LOC126278972","Lipase","Infection within diet","Shared head/thorax phase DEG",1,"Diet 33: infected vs control","Upregulated",3.02545256133962,0.0431362533099258,3.19405944113555,"1023","Higher than gene average"
3322,"LOC126354626","Vault protein inter-alpha-trypsin domain","Infection + diet","No phase DEG",2,"Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",2.56783498245917,0.0398275003823825,3.00904029362955,"1023","Higher than gene average"
3323,"LOC126363586","Venom protease-like","Infection within diet","Thorax phase DEG only",1,"Diet 50: infected vs control","Upregulated",1.54336271682161,0.00155550002336621,3.56841333086708,"1014","Higher than gene average"
3324,"LOC126282434","SH3/SH2 adaptor activity","Infection within diet","No phase DEG",3,"Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.78386180979535,0.00436689205093249,3.05891803868318,"1016","Higher than gene average"
3325,"LOC126273033","Insect pheromone-binding family, A10/OS-D","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",3.12803694237441,0.0150454357071533,2.69872092439121,"1046","Higher than gene average"
3326,"LOC126314467","Protein present in Fab1, YOTB, Vac1, and EEA1","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",1.07260812330124,0.0461530683579032,1.9675793145828,"1016","Lower than gene average"
3327,"LOC126278559","Prostaglandin reductase","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",2.06177765888004,0.0485992755316729,3.00018179191995,"1054","Higher than gene average"
3328,"LOC126337066","Major Facilitator Superfamily","Infection + diet","Head phase DEG only",5,"Control 83 vs 33; Control 83 vs 50; Diet 50: infected vs control; Diet 83: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",3.01793960536298,2.58652678557486e-06,2.43720599080229,"1042","Higher than gene average"
3329,"LOC126323429","Chitin-binding domain type 2","Infection within diet","Thorax phase DEG only",1,"Diet 33: infected vs control","Upregulated",3.53450577577949,0.0493867307638325,4.67029527715306,"1050","Higher than gene average"
3330,"LOC126356176","BadF/BadG/BcrA/BcrD ATPase family","Infection within diet","No phase DEG",1,"Diet 83: infected vs control","Upregulated",1.87573446399489,0.0482168538955042,4.50607976662491,"1050","Higher than gene average"
3331,"LOC126336710","no description","Infection + diet","No phase DEG",2,"Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",1.62800580173226,0.0259712258305516,2.11840387397805,"1055","Lower than gene average"
