"scenario","comparison_type","comparison","direction","timecourse_reference_set","n_fat_body_degs","n_reference_genes","n_overlap","percent_fat_body_degs","percent_reference_genes","jaccard","overlap_gene_ids"
"All samples","Infection within diet","Diet 50: infected vs control","Downregulated","Higher in gregarious/crowded reference",518,262,26,5.01930501930502,9.9236641221374,0.0344827586206897,"LOC126266713;LOC126268728;LOC126269368;LOC126272370;LOC126277893;LOC126278364;LOC126278365;LOC126278622;LOC126281715;LOC126281958;LOC126284898;LOC126291919;LOC126295285;LOC126299062;LOC126299150;LOC126299171;LOC126327089;LOC126333672;LOC126334779;LOC126335894;LOC126336866;LOC126353877;LOC126354065;LOC126355150;LOC126355184;LOC126356321"
"All samples","Infection within diet","Diet 50: infected vs control","Upregulated","Higher in solitarious/isolated reference",794,152,19,2.39294710327456,12.5,0.0204962243797195,"LOC126266748;LOC126272290;LOC126272724;LOC126278180;LOC126281635;LOC126282035;LOC126284221;LOC126284305;LOC126284880;LOC126285233;LOC126305117;LOC126321085;LOC126334632;LOC126334999;LOC126335117;LOC126336415;LOC126336578;LOC126349825;LOC126356364"
"All samples","Infection within diet","Diet 50: infected vs control","Downregulated","Higher in solitarious/isolated reference",518,152,16,3.08880308880309,10.5263157894737,0.0244648318042813,"LOC126267253;LOC126281302;LOC126282020;LOC126293721;LOC126295405;LOC126326589;LOC126335450;LOC126336399;LOC126336529;LOC126336534;LOC126336910;LOC126337056;LOC126354081;LOC126354185;LOC126355146;LOC126356808"
"All samples","Infection within diet","Diet 83: infected vs control","Upregulated","Top absolute single-pair shifts",342,500,34,9.94152046783626,6.8,0.0420792079207921,"LOC126267936;LOC126271895;LOC126272290;LOC126272997;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126281729;LOC126284371;LOC126284502;LOC126284857;LOC126284880;LOC126285233;LOC126292260;LOC126292302;LOC126293693;LOC126305117;LOC126330722;LOC126334632;LOC126335036;LOC126335117;LOC126336415;LOC126336578;LOC126337066;LOC126339239;LOC126349825;LOC126353997;LOC126354672;LOC126354704;LOC126355597;LOC126356328"
"All samples","Infection within diet","Diet 83: infected vs control","Upregulated","Any large single-pair shift",342,414,31,9.06432748538012,7.48792270531401,0.0427586206896552,"LOC126271895;LOC126272290;LOC126272997;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126281729;LOC126284371;LOC126284502;LOC126284857;LOC126284880;LOC126285233;LOC126292260;LOC126293693;LOC126305117;LOC126330722;LOC126334632;LOC126335117;LOC126336415;LOC126336578;LOC126337066;LOC126339239;LOC126349825;LOC126353997;LOC126354672;LOC126354704;LOC126355597;LOC126356328"
"All samples","Infection within diet","Diet 83: infected vs control","Downregulated","Top absolute single-pair shifts",177,500,21,11.864406779661,4.2,0.0320121951219512,"LOC126267104;LOC126281302;LOC126281398;LOC126281520;LOC126281958;LOC126284086;LOC126284088;LOC126284552;LOC126284612;LOC126293692;LOC126298779;LOC126335106;LOC126335184;LOC126336399;LOC126336866;LOC126336910;LOC126337056;LOC126344004;LOC126354081;LOC126354185;LOC126365627"
"All samples","Infection within diet","Diet 83: infected vs control","Downregulated","Any large single-pair shift",177,414,20,11.2994350282486,4.83091787439614,0.0350262697022767,"LOC126267104;LOC126281302;LOC126281398;LOC126281520;LOC126281958;LOC126284086;LOC126284088;LOC126284552;LOC126284612;LOC126293692;LOC126298779;LOC126335106;LOC126335184;LOC126336399;LOC126336866;LOC126336910;LOC126337056;LOC126354081;LOC126354185;LOC126365627"
"All samples","Infection within diet","Diet 83: infected vs control","Upregulated","Higher in gregarious/crowded reference",342,262,20,5.84795321637427,7.63358778625954,0.0342465753424658,"LOC126271895;LOC126272997;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126281729;LOC126284371;LOC126284502;LOC126284857;LOC126293693;LOC126330722;LOC126337066;LOC126339239;LOC126353997;LOC126354672;LOC126354704;LOC126356328"
"All samples","Infection within diet","Diet 83: infected vs control","Downregulated","Higher in solitarious/isolated reference",177,152,13,7.34463276836158,8.55263157894737,0.0411392405063291,"LOC126281302;LOC126281398;LOC126281520;LOC126284086;LOC126284088;LOC126298779;LOC126335106;LOC126335184;LOC126336399;LOC126336910;LOC126337056;LOC126354081;LOC126354185"
"All samples","Infection within diet","Diet 83: infected vs control","Upregulated","Higher in solitarious/isolated reference",342,152,11,3.21637426900585,7.23684210526316,0.0227743271221532,"LOC126272290;LOC126284880;LOC126285233;LOC126292260;LOC126305117;LOC126334632;LOC126335117;LOC126336415;LOC126336578;LOC126349825;LOC126355597"
