"gene_id","timecourse_fatbody_gregarious_minus_solitarious","abs_timecourse_delta","tissue_matched_direction","exploratory_shift"
"LOC126285253",0.381976209550412,0.381976209550412,"Higher in gregarious/crowded reference",FALSE
"LOC126285254",0.641820245829336,0.641820245829336,"Higher in gregarious/crowded reference",FALSE
"LOC126284106",0,0,"No difference in single-pair reference",FALSE
"LOC126284105",0,0,"No difference in single-pair reference",FALSE
"LOC126285255",0,0,"No difference in single-pair reference",FALSE
"LOC126284314",-0.154206271373092,0.154206271373092,"Higher in solitarious/isolated reference",FALSE
"LOC126284315",0.184940904659938,0.184940904659938,"Higher in gregarious/crowded reference",FALSE
"LOC126284313",0,0,"No difference in single-pair reference",FALSE
"LOC126284316",-0.0233885650731356,0.0233885650731356,"Higher in solitarious/isolated reference",FALSE
"LOC126284312",0.120965871162247,0.120965871162247,"Higher in gregarious/crowded reference",FALSE
"LOC126284621",0.241994403896567,0.241994403896567,"Higher in gregarious/crowded reference",FALSE
"LOC126284492",0.284627314924415,0.284627314924415,"Higher in gregarious/crowded reference",FALSE
"LOC126285349",-0.0157117651180112,0.0157117651180112,"Higher in solitarious/isolated reference",FALSE
"LOC126285352",0.0307346332868459,0.0307346332868459,"Higher in gregarious/crowded reference",FALSE
"LOC126285354",0.0741411975712882,0.0741411975712882,"Higher in gregarious/crowded reference",FALSE
"LOC126285257",0.27525539308142,0.27525539308142,"Higher in gregarious/crowded reference",FALSE
"LOC126284257",-0.129402823553132,0.129402823553132,"Higher in solitarious/isolated reference",FALSE
"LOC126285382",-0.387774471051176,0.387774471051176,"Higher in solitarious/isolated reference",FALSE
"LOC126285383",-0.163850643407243,0.163850643407243,"Higher in solitarious/isolated reference",FALSE
"LOC126285384",-0.0876576959420685,0.0876576959420685,"Higher in solitarious/isolated reference",FALSE
"LOC126285380",-0.476115080389464,0.476115080389464,"Higher in solitarious/isolated reference",FALSE
"LOC126285378",0.378327342003915,0.378327342003915,"Higher in gregarious/crowded reference",FALSE
