"gene_id","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class"
"LOC126278072",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278411",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278691",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278693",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278603",1,"Head","Gregarious-up",1.0451118656059,1.0451118656059,1.0451118656059,NA,6.32650889615476e-08,NA,"Gregarious-up","Head phase DEG only"
"LOC126278150",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277995",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278705",1,"Head","Solitarious-up",-1.6343457855989,1.6343457855989,-1.6343457855989,NA,2.43525188602071e-12,NA,"Solitarious-up","Head phase DEG only"
"LOC126278704",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278381",1,"Thorax","Gregarious-up",1.14950304718528,1.14950304718528,NA,1.14950304718528,NA,0.000437682309769046,"Gregarious-up","Thorax phase DEG only"
"LOC126279096",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278488",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278307",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277967",1,"Head","Gregarious-up",1.11693341572138,1.11693341572138,1.11693341572138,NA,1.67659984205353e-07,NA,"Gregarious-up","Head phase DEG only"
"LOC126277969",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277970",1,"Head","Gregarious-up",1.09147124260753,1.09147124260753,1.09147124260753,NA,1.6381430554978e-06,NA,"Gregarious-up","Head phase DEG only"
"LOC126278899",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277973",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277975",1,"Thorax","Gregarious-up",1.267918893257,1.267918893257,NA,1.267918893257,NA,0.000137340226078882,"Gregarious-up","Thorax phase DEG only"
"LOC126278901",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278293",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278294",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278179",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278304",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278905",1,"Thorax","Gregarious-up",2.01650589949522,2.01650589949522,NA,2.01650589949522,NA,4.1599353369757e-12,"Gregarious-up","Thorax phase DEG only"
"LOC126278017",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278020",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278608",1,"Thorax","Solitarious-up",-2.25917450905674,2.25917450905674,NA,-2.25917450905674,NA,4.04537261577703e-07,"Solitarious-up","Thorax phase DEG only"
"LOC126278909",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278326",1,"Head","Gregarious-up",1.04874948116296,1.04874948116296,1.04874948116296,NA,6.00831712634803e-13,NA,"Gregarious-up","Head phase DEG only"
"LOC126278168",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
