"gene_id","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class"
"LOC126319294",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126319460",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126320178",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126320326",1,"Thorax","Solitarious-up",-1.11037002532825,1.11037002532825,NA,-1.11037002532825,NA,3.56659280433256e-05,"Solitarious-up","Thorax phase DEG only"
"LOC126320407",2,"Head + Thorax","Gregarious-up",1.26198406375847,1.46345864302993,1.06050948448701,1.46345864302993,1.60831325501662e-18,5.01495800658608e-19,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126320662",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126320757",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126320910",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126322280",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126322412",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126322565",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126325647",2,"Head + Thorax","Gregarious-up",1.48466294027033,1.65586245605866,1.313463424482,1.65586245605866,3.18936113178348e-22,2.46586049067401e-23,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126326117",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126326285",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126326589",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126284877",1,"Head","Gregarious-up",1.20138429989289,1.20138429989289,1.20138429989289,NA,6.69552578545374e-11,NA,"Gregarious-up","Head phase DEG only"
"LOC126327189",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126284900",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126329909",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126270168",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126330208",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126330470",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126331023",1,"Thorax","Gregarious-up",1.3398796084726,1.3398796084726,NA,1.3398796084726,NA,4.40843876048531e-09,"Gregarious-up","Thorax phase DEG only"
"LOC126331335",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126331946",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126332104",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126284920",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334172",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334525",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334532",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334539",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334603",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334628",1,"Thorax","Solitarious-up",-1.08651066716142,1.08651066716142,NA,-1.08651066716142,NA,8.40694870141949e-08,"Solitarious-up","Thorax phase DEG only"
"LOC126334636",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334676",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334692",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334712",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334754",2,"Head + Thorax","Gregarious-up",1.57079776342077,1.72886279745668,1.41273272938485,1.72886279745668,0.0338537585973033,0.0103853584127104,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126328798",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334812",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126330262",1,"Head","Gregarious-up",1.04274287228528,1.04274287228528,1.04274287228528,NA,0.00104137908069443,NA,"Gregarious-up","Head phase DEG only"
"LOC126334841",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334908",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334901",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334979",1,"Thorax","Gregarious-up",1.41005571025971,1.41005571025971,NA,1.41005571025971,NA,0.000167668501385151,"Gregarious-up","Thorax phase DEG only"
"LOC126334993",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126335249",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126335370",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126335338",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126335375",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126335414",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126335421",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126335645",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336011",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336039",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336196",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336213",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336272",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336294",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336389",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336571",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336429",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336481",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126285058",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336530",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126337358",1,"Head","Gregarious-up",1.15892788853272,1.15892788853272,1.15892788853272,NA,0.00925711882588134,NA,"Gregarious-up","Head phase DEG only"
"LOC126336610",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336647",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336728",1,"Head","Solitarious-up",-1.06395301872357,1.06395301872357,-1.06395301872357,NA,2.05336770059225e-10,NA,"Solitarious-up","Head phase DEG only"
"LOC126336733",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336768",1,"Head","Solitarious-up",-1.03961013213065,1.03961013213065,-1.03961013213065,NA,0.015055000081399,NA,"Solitarious-up","Head phase DEG only"
"LOC126336822",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336885",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336877",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336904",1,"Thorax","Solitarious-up",-1.43454617613624,1.43454617613624,NA,-1.43454617613624,NA,3.88928202966459e-23,"Solitarious-up","Thorax phase DEG only"
"LOC126336941",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336948",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336972",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336977",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336997",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126337074",1,"Thorax","Solitarious-up",-1.77647344176129,1.77647344176129,NA,-1.77647344176129,NA,3.63679561661162e-14,"Solitarious-up","Thorax phase DEG only"
"LOC126337131",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126339334",2,"Head + Thorax","Gregarious-up",1.44447552243273,1.54761422165194,1.34133682321351,1.54761422165194,0.014109296156065,0.000359149251409216,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126337254",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126337548",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126337753",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126337770",1,"Thorax","Solitarious-up",-1.4087892585416,1.4087892585416,NA,-1.4087892585416,NA,1.48252481733727e-24,"Solitarious-up","Thorax phase DEG only"
"LOC126337999",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126339955",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126340263",1,"Head","Gregarious-up",1.21008537752094,1.21008537752094,1.21008537752094,NA,6.6903393023417e-13,NA,"Gregarious-up","Head phase DEG only"
"LOC126338041",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126338093",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126338145",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126338177",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126338294",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126338310",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126338336",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126338352",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126338575",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126338632",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126338664",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126338779",1,"Thorax","Gregarious-up",1.07577294027915,1.07577294027915,NA,1.07577294027915,NA,6.52224156379698e-06,"Gregarious-up","Thorax phase DEG only"
"LOC126339036",2,"Head + Thorax","Solitarious-up",-1.52271627968026,1.7018477474331,-1.7018477474331,-1.34358481192742,0.00237799515367044,0.00233509700648024,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126340731",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126339150",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126339177",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341035",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126339323",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126339466",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341345",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126339580",1,"Thorax","Solitarious-up",-1.39617706965818,1.39617706965818,NA,-1.39617706965818,NA,0.000137654939868254,"Solitarious-up","Thorax phase DEG only"
"LOC126339596",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126339755",2,"Head + Thorax","Solitarious-up",-1.63624361323011,2.07210395117411,-1.20038327528611,-2.07210395117411,0.00241370197071809,3.78915860628577e-10,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126339739",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126339798",2,"Head + Thorax","Gregarious-up",1.99035034093697,2.19014430224994,1.790556379624,2.19014430224994,4.27303951770617e-09,2.59781674364755e-08,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126339830",1,"Thorax","Solitarious-up",-1.13234152727284,1.13234152727284,NA,-1.13234152727284,NA,0.00839398403124646,"Solitarious-up","Thorax phase DEG only"
"LOC126339912",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126339928",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126339987",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126340300",2,"Head + Thorax","Gregarious-up",2.36249389841463,2.76554260448978,1.95944519233949,2.76554260448978,3.20375741839568e-18,7.21115305220179e-23,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126340284",2,"Head + Thorax","Gregarious-up",3.04661462110722,3.46243402176008,3.46243402176008,2.63079522045436,1.97099940704656e-22,8.21621444310287e-09,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126340122",2,"Head + Thorax","Gregarious-up",3.7198707177608,4.090985780828,3.3487556546936,4.090985780828,1.64112638269803e-38,2.06058536194722e-76,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126340356",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126340591",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126340607",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126340623",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341081",1,"Thorax","Solitarious-up",-1.12156649301493,1.12156649301493,NA,-1.12156649301493,NA,1.16116026020941e-23,"Solitarious-up","Thorax phase DEG only"
"LOC126341097",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341133",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341159",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341185",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341237",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341283",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341482",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341572",1,"Thorax","Solitarious-up",-1.49753866610778,1.49753866610778,NA,-1.49753866610778,NA,0.00301292044390577,"Solitarious-up","Thorax phase DEG only"
"LOC126341671",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341901",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341885",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126342056",1,"Head","Gregarious-up",1.8739251098501,1.8739251098501,1.8739251098501,NA,1.27153864187049e-38,NA,"Gregarious-up","Head phase DEG only"
"LOC126342225",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126342281",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126342498",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126342514",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126342643",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126342685",1,"Thorax","Solitarious-up",-1.20940209226004,1.20940209226004,NA,-1.20940209226004,NA,8.54759691726112e-10,"Solitarious-up","Thorax phase DEG only"
"LOC126342851",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126342867",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126342883",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126342926",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126343024",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126343123",1,"Head","Gregarious-up",1.04844866516663,1.04844866516663,1.04844866516663,NA,2.96802905743815e-07,NA,"Gregarious-up","Head phase DEG only"
"LOC126343384",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126343426",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126343581",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126343484",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126343623",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126343639",1,"Thorax","Solitarious-up",-1.2048111505154,1.2048111505154,NA,-1.2048111505154,NA,9.03200218443977e-09,"Solitarious-up","Thorax phase DEG only"
"LOC126343816",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126343832",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126343848",1,"Thorax","Solitarious-up",-1.04030228756372,1.04030228756372,NA,-1.04030228756372,NA,0.00112171078102196,"Solitarious-up","Thorax phase DEG only"
"LOC126343865",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126344004",2,"Head + Thorax","Solitarious-up",-1.72220981618392,1.9077126328617,-1.53670699950614,-1.9077126328617,5.25465297817638e-06,1.45147608126594e-09,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126344078",2,"Head + Thorax","Solitarious-up",-1.2725070944393,1.53193539328989,-1.01307879558872,-1.53193539328989,0.00426954567550732,5.28269505256559e-08,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126344146",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126344231",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126344374",1,"Thorax","Solitarious-up",-1.38559694740757,1.38559694740757,NA,-1.38559694740757,NA,1.23070081713619e-05,"Solitarious-up","Thorax phase DEG only"
"LOC126344463",2,"Head + Thorax","Gregarious-up",5.19809678970419,7.74570181620193,2.65049176320644,7.74570181620193,0.0251962800938145,2.23298310890083e-12,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126344538",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126344554",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126344596",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126344720",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126344762",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126344778",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126344871",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345047",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345073",2,"Head + Thorax","Gregarious-up",2.36094658671669,3.17996418702029,1.54192898641308,3.17996418702029,0.0239131145660185,1.0008985759679e-12,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126345148",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126323150",1,"Head","Gregarious-up",1.34542409225601,1.34542409225601,1.34542409225601,NA,0.000536462385376954,NA,"Gregarious-up","Head phase DEG only"
"LOC126324532",1,"Head","Gregarious-up",1.08803631127341,1.08803631127341,1.08803631127341,NA,0.000976485935001694,NA,"Gregarious-up","Head phase DEG only"
"LOC126345236",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345263",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345402",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345481",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345497",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345513",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345545",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345588",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345672",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345708",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345965",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346074",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346192",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346267",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346278",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346320",2,"Head + Thorax","Solitarious-up",-1.02930460720457,1.03049808012218,-1.03049808012218,-1.02811113428697,0.00300865007851347,0.000156983736228329,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126346336",1,"Thorax","Solitarious-up",-1.07195645578306,1.07195645578306,NA,-1.07195645578306,NA,3.13255353377187e-05,"Solitarious-up","Thorax phase DEG only"
"LOC126346425",1,"Head","Gregarious-up",1.46069081141843,1.46069081141843,1.46069081141843,NA,0.0147233041878317,NA,"Gregarious-up","Head phase DEG only"
"LOC126346622",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346580",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346684",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346862",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346878",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346894",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346926",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346953",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126347021",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126348697",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126347079",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126349011",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336760",2,"Head + Thorax","Gregarious-up + Solitarious-up",0.0346257160389449,1.1529131531805,-1.08366172110261,1.1529131531805,0.0185448744907512,1.17522123516364e-05,"Discordant phase direction","Shared head/thorax phase DEG"
"LOC126347167",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126347233",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126347322",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126347374",1,"Thorax","Solitarious-up",-1.12302502563883,1.12302502563883,NA,-1.12302502563883,NA,4.80740685682902e-12,"Solitarious-up","Thorax phase DEG only"
"LOC126347560",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126347463",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126347677",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126347767",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126347880",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126347943",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126348080",1,"Head","Gregarious-up",1.34397349452156,1.34397349452156,1.34397349452156,NA,7.82316601212994e-05,NA,"Gregarious-up","Head phase DEG only"
"LOC126348001",2,"Head + Thorax","Gregarious-up",1.21571292416726,1.27357616796654,1.15784968036798,1.27357616796654,0.00028088992351642,0.00255457105093361,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126347975",1,"Thorax","Solitarious-up",-1.3006022329508,1.3006022329508,NA,-1.3006022329508,NA,7.92777595248706e-14,"Solitarious-up","Thorax phase DEG only"
