"sample_id","PC1","PC2","PC3","PC4","sample_id.y","count_file","tissue","phase","rearing_condition","replicate","source","display_group","reference_role","sample_label","sample_block","infection_status","diet","outlier_status","file_present"
"SGRE-HEAD-ISO-5_MERGE",94.455497484187,12.3649850421539,7.54150659556013,14.9210988918975,"SGRE-HEAD-ISO-5_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-5_MERGE_featurecounts.txt","Head","Solitarious","Isolated",5,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 5","H-ISO-5","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-HEAD-ISO-6_MERGE",87.5385447646908,9.62408185707813,8.8937457803402,11.48663436241,"SGRE-HEAD-ISO-6_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-HEAD-ISO-6_MERGE_featurecounts.txt","Head","Solitarious","Isolated",6,"Time-course head/thorax phase reference","Head: isolated/solitarious","Head isolated rep 6","H-ISO-6","Head reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-CRD-1_MERGE",79.0319279705408,-3.1621357845611,-6.6897577493778,-11.7949096451876,"SGRE-THOX-CRD-1_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-1_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",1,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 1","T-CRD-1","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-CRD-2_MERGE",83.1344304055675,-3.19469359813625,-11.4615211988903,-10.8848001798676,"SGRE-THOX-CRD-2_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-2_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",2,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 2","T-CRD-2","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-CRD-3_MERGE",80.7297231345653,-3.17064692156926,-8.38419333846091,-11.6251139431287,"SGRE-THOX-CRD-3_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-3_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",3,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 3","T-CRD-3","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-CRD-4_MERGE",79.6264456253564,-2.16079857530972,-5.69660652338703,-12.0477905227058,"SGRE-THOX-CRD-4_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-4_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",4,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 4","T-CRD-4","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-CRD-5_MERGE",85.3112266386128,-2.11873279126145,-10.9356587230302,-10.0080796500257,"SGRE-THOX-CRD-5_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-5_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",5,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 5","T-CRD-5","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-CRD-6_MERGE",79.7478255227175,-4.83704019680493,-11.5783910343105,-11.0328537371382,"SGRE-THOX-CRD-6_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-CRD-6_MERGE_featurecounts.txt","Thorax","Gregarious","Crowded",6,"Time-course head/thorax phase reference","Thorax: crowded/gregarious","Thorax crowded rep 6","T-CRD-6","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-ISO-1_MERGE",71.6201634272488,-8.87298658140364,-11.0147478676956,-9.22538271107669,"SGRE-THOX-ISO-1_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-1_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",1,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 1","T-ISO-1","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-ISO-2_MERGE",74.785043462582,-7.74360847515692,-11.6813761338238,-7.02464525137556,"SGRE-THOX-ISO-2_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-2_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",2,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 2","T-ISO-2","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-ISO-3_MERGE",73.3012401508859,-8.33331024565064,-10.6582963287821,-9.24694847208657,"SGRE-THOX-ISO-3_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-3_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",3,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 3","T-ISO-3","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-ISO-4_MERGE",76.4240346503422,-6.66133346683012,-10.740704397647,-8.28248659097429,"SGRE-THOX-ISO-4_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-4_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",4,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 4","T-ISO-4","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-ISO-5_MERGE",73.4291939828235,-7.94746984573402,-11.6867762233625,-7.36062754312625,"SGRE-THOX-ISO-5_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-5_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",5,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 5","T-ISO-5","Thorax reference","Control","Reference","Reference sample",TRUE
"SGRE-THOX-ISO-6_MERGE",78.3917182660878,-5.68677588132774,-10.0051827303743,-8.09595254804333,"SGRE-THOX-ISO-6_MERGE","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/data/raw_read_counts/03-gregaria-DESeq2/SGRE-THOX-ISO-6_MERGE_featurecounts.txt","Thorax","Solitarious","Isolated",6,"Time-course head/thorax phase reference","Thorax: isolated/solitarious","Thorax isolated rep 6","T-ISO-6","Thorax reference","Control","Reference","Reference sample",TRUE
