"heatmap_row_order","gene_id","GFF_Description","gene_biotype","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1008,"LOC126281958","fructose-1,6-bisphosphatase 1","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.1463202186871,3.07332891596629e-06,2.47010598714834,"1016","Lower than gene mean"
1009,"LOC126299364","amidophosphoribosyltransferase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.1923602419604,0.0423744719950616,1.95993191432854,"1023","Lower than gene mean"
1010,"LOC126354088","luciferin sulfotransferase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.13004047511248,0.0079644809838765,2.01168552537963,"1049","Lower than gene mean"
1011,"LOC126347864","uncharacterized LOC126347864","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.83266069812942,1.59630019679345e-05,2.26616115707608,"1023","Lower than gene mean"
1012,"LOC126293368","phosphoserine aminotransferase","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",6,"control_diet83_vs33; infected_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83; Infected diet 83",1.83572375018782,6.46223111276841e-13,2.0286790446432,"1038","Higher than gene mean"
1013,"LOC126267222","C-1-tetrahydrofolate synthase, cytoplasmic","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.52244807225106,1.90504611427735e-07,2.08455821960962,"1011","Higher than gene mean"
1014,"LOC126293737","bifunctional purine biosynthesis protein ATIC","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",4,"infected_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50; Infected diet 83",2.32135289286021,1.62018599968677e-05,1.75334012543281,"1050","Higher than gene mean"
1015,"LOC126325353","serine hydroxymethyltransferase","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",5,"infected_diet83_vs33; infected_diet83_vs50; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50; Infected diet 83",2.32392822681474,2.00606764186136e-05,1.91317548895055,"1050","Higher than gene mean"
1016,"LOC126293404","aminomethyltransferase, mitochondrial","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.28423936128332,0.0112231520014169,2.69033755242384,"1023","Lower than gene mean"
1017,"LOC126281399","sorbitol dehydrogenase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.50522993073683,2.12285691465264e-05,2.43082297005962,"1023","Lower than gene mean"
1018,"LOC126334991","sodium-independent sulfate anion transporter-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.28438556771442,2.69073163428832e-09,2.56743896865626,"1023","Lower than gene mean"
1019,"LOC126332857","esterase E4-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.01371574369495,0.00546812320781825,2.24982450260062,"1049","Lower than gene mean"
1020,"LOC126284670","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.60330899828011,0.000802274276431733,2.07518369707641,"1049","Lower than gene mean"
1021,"LOC126336960","uncharacterized LOC126336960","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.62627905028755,9.64067116266753e-06,2.32728354811279,"1023","Lower than gene mean"
1022,"LOC126299133","speckle-type POZ protein-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.08030044054472,0.00150223378624574,2.25501334047576,"1009","Higher than gene mean"
1023,"LOC126355752","muscle segmentation homeobox-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.11515943770407,0.00461219556526931,2.13563527165993,"1009","Higher than gene mean"
1024,"LOC126276533","catalase","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.17925286847435,0.0200899743127842,2.64540740079343,"1023","Lower than gene mean"
1025,"LOC126281935","cytochrome P450 6a2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.63377876815834,0.0154340876602593,2.15984833108621,"1011","Higher than gene mean"
1026,"LOC126291591","UTP--glucose-1-phosphate uridylyltransferase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.32811499026723,2.7820667040366e-05,2.14010937312137,"1023","Lower than gene mean"
1027,"LOC126272926","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.32363162535896,0.0305339862137302,2.25005166333292,"1045","Lower than gene mean"
1028,"LOC126284898","fructose-bisphosphate aldolase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.83022136433726,1.34144443781094e-06,2.5092904633467,"1023","Lower than gene mean"
1029,"LOC126293692","synaptic vesicle glycoprotein 2A-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",3.47382190387162,1.06841790397042e-06,2.08249199674714,"1005","Higher than gene mean"
1030,"LOC126335045","probable cytochrome P450 6a13","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.52720966170209,0.00504095830313078,1.88658400510004,"1052","Lower than gene mean"
1031,"LOC126267953","phytanoyl-CoA dioxygenase domain-containing protein 1 homolog","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_diet50; infection_diet83","Control diet 50; Control diet 83",1.1684727719395,0.00163476620841667,2.59882092312712,"1052","Lower than gene mean"
1032,"LOC126347783","luciferin 4-monooxygenase","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.04690570073934,0.0193783283405663,3.05852171141546,"1020","Lower than gene mean"
1033,"LOC126354276","diuretic hormone receptor-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.64724822750225,2.88919652003672e-05,2.20071516103566,"1020","Lower than gene mean"
1034,"LOC126295125","prostamide/prostaglandin F synthase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.33505504588764,0.000602012186864097,2.02017068702014,"1027","Lower than gene mean"
1035,"LOC126354081","rutC family protein UK114-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",3.83155016996382,5.96939330817994e-10,2.22604388469046,"1020","Lower than gene mean"
1036,"LOC126272899","cytochrome P450 6k1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.4495452317023,9.00291929371472e-06,2.39040157094868,"1049","Lower than gene mean"
1037,"LOC126268146","uncharacterized LOC126268146","lncRNA","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.36132919156366,0.0199946178938531,2.32005338597555,"1002","Lower than gene mean"
1038,"LOC126272888","uncharacterized LOC126272888","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.99073478908765,2.28099557763857e-05,1.9202409691061,"1005","Higher than gene mean"
1039,"LOC126298174","regucalcin-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.19147851440981,0.0214088291518841,2.04988173643469,"1020","Lower than gene mean"
1040,"LOC126284552","cytochrome P450 6j1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",3.51575009194276,0.000635353825486867,1.93922250337369,"1054","Higher than gene mean"
1041,"LOC126336888","glutathione S-transferase 1-1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.05265644513625,0.0017589038413763,2.45122446141965,"1023","Lower than gene mean"
1042,"LOC126350022","alpha-aminoadipic semialdehyde dehydrogenase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.22418922766733,0.000204932334110024,1.95104209055446,"1016","Lower than gene mean"
1043,"LOC126355068","prolactin-releasing peptide receptor-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.47884876209411,0.0279305901497872,2.91712492736196,"1058","Lower than gene mean"
1044,"LOC126291900","uncharacterized LOC126291900","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.08749118466974,0.0481599106064599,2.98210857022482,"1058","Lower than gene mean"
1045,"LOC126336469","farnesol dehydrogenase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.89772996164227,3.00542629103083e-07,2.36938211834686,"1058","Lower than gene mean"
1046,"LOC126336735","glutathione S-transferase 1-1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.08653376381328,1.48829238919962e-06,1.84549594922072,"1030","Higher than gene mean"
1047,"LOC126267280","adhesive plaque matrix protein 2-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.96927851653977,0.000128734525275331,3.22084309448616,"1016","Lower than gene mean"
1048,"LOC126336962","lysosomal alpha-mannosidase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60747868791615,2.65348899245928e-06,2.07244382214272,"1038","Higher than gene mean"
1049,"LOC126291786","uncharacterized LOC126291786","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.01267668118424,0.00402675113751491,2.47788386374615,"1016","Lower than gene mean"
1050,"LOC126281532","transaldolase","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.83327113607125,2.88913050489602e-16,2.31830299525831,"1038","Higher than gene mean"
1051,"LOC126281954","alcohol dehydrogenase class-3","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.43941423411776,1.16513263907724e-09,1.88359250695274,"1038","Higher than gene mean"
1052,"LOC126267019","ribokinase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.22663608937859,0.00181265726603111,2.49093246091454,"1011","Higher than gene mean"
1053,"LOC126267970","glucose dehydrogenase [FAD, quinone]-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.02416978847254,0.000710531601020527,2.02973469364068,"1057","Lower than gene mean"
1054,"LOC126267971","glucose dehydrogenase [FAD, quinone]-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.17121674367734,7.68322010250189e-05,2.08177535208526,"1058","Lower than gene mean"
1055,"LOC126355949","mitochondrial enolase superfamily member 1-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.2679399400508,4.57376502409677e-07,1.97310328823297,"1038","Higher than gene mean"
1056,"LOC126298210","regucalcin-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.13000019045182,0.00143746857629418,2.3536051119653,"1057","Lower than gene mean"
1057,"LOC126334694","dihydrodiol dehydrogenase 3-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.81226697058523,1.51127333569296e-05,1.78335382522219,"1029","Lower than gene mean"
1058,"LOC126278185","uncharacterized LOC126278185","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.14604861786485,0.00821688961128724,2.14815013597572,"1050","Higher than gene mean"
1059,"LOC126336910","protein charybde-like","protein_coding","Infection + diet","Not evaluated in this chromosome-only figure",4,"control_diet83_vs33; infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",3.430910264848,2.73071231345226e-11,2.0839835182587,"1032","Higher than gene mean"
1060,"LOC126293248","uncharacterized LOC126293248","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.19236332515736,0.015287728226916,2.10052723822119,"1014","Higher than gene mean"
1061,"LOC126336876","pickpocket protein 28","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet33","Control diet 33",1.11831257204294,0.0486962218058791,2.31686262913384,"1057","Lower than gene mean"
1062,"LOC126335465","serpin B6-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.4972241057662,0.000860538501363815,2.22461305039408,"1031","Higher than gene mean"
