"canonical_gene_order","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj","candidate_k2","candidate_k3","candidate_k4"
48,"LOC126268019","uncharacterized LOC126268019","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.29294782364093,0.00585535088363569,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
49,"LOC126281521","uncharacterized LOC126281521","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.83376848567483,0.000189796693171454,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
50,"LOC126284429","IQ motif and SEC7 domain-containing protein 2","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.09849414991047,0.0011372240231054,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
51,"LOC126266958","uncharacterized LOC126266958","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.08827875891238,0.0107854454626546,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
52,"LOC126297734","epidermal growth factor receptor kinase substrate 8-like protein 2","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.09258101528999,0.0133908995123421,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
53,"LOC126281354","mucin-5AC-like","protein_coding","Diet in infected","infected_diet83_vs50","Infected diet 83",1.07007523417672,0.0335978142735041,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
54,"LOC126353822","uncharacterized LOC126353822","protein_coding","Infection + diet","infected_diet83_vs50; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50; Infected diet 83",2.20509553244,8.94600258977678e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
55,"LOC126272080","arrestin domain-containing protein 17","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.29722107646484,0.0068086232378212,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
56,"LOC126282335","uncharacterized LOC126282335","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.27889052525601,9.05363302357654e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
57,"LOC126345263","peroxisomal acyl-coenzyme A oxidase 3","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.30769246612182,4.52385022755708e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
58,"LOC126298594","phospholipase A2 inhibitor beta","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.14950796068145,0.00323577400715652,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
59,"LOC126334637","calpain-9-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.31914824533548,0.00114476490146617,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
60,"LOC126284016","nucleoredoxin-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.3388941385565,0.00386307642393026,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
61,"LOC126354218","partitioning defective 3 homolog","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.23100984230409,0.000400167966695454,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
62,"LOC126284250","uncharacterized LOC126284250","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.762297605187,0.000135087130568797,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
63,"LOC126279923","RNA-binding protein 24-B-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.12641385498733,0.0394695746757569,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
64,"LOC126278455","E3 ubiquitin-protein ligase TRIM9","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.07951115555301,0.0295386392755277,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
65,"LOC126336873","enhancer of split mbeta protein-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.75835698935078,0.0121398602258969,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
66,"LOC126355724","uncharacterized LOC126355724","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.8100023492877,5.45590128735863e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
67,"LOC126281296","rap guanine nucleotide exchange factor 6-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.27542024030873,0.000249055928811662,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
68,"LOC126355586","cGMP-dependent protein kinase, isozyme 1","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.121091860715,0.000208715901304949,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
69,"LOC126298299","Krueppel-like factor 2","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.58202640143038,0.000131367816948864,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
70,"LOC126365770","golgin subfamily A member 6-like protein 7","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.08669961137687,4.14714040260543e-08,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
71,"LOC126281299","uncharacterized LOC126281299","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.9838229793652,2.48776523359449e-08,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
72,"LOC126281915","uncharacterized LOC126281915","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.87963877716047,6.09315971390706e-09,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
73,"LOC126297795","uncharacterized LOC126297795","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.03095911431021,6.00967530987156e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
74,"LOC126336201","uncharacterized LOC126336201","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.00044516753309,1.78537840397418e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
75,"LOC126349273","uncharacterized LOC126349273","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.36312846531522,3.90961834784952e-10,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
76,"LOC126336692","glutathione S-transferase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.48431987588218,3.23578719368072e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
77,"LOC126334946","RNA-binding protein Musashi homolog 2","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.69367236947258,3.57534582789594e-08,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
78,"LOC126336337","protein charybde-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.69673131985894,7.40694260540137e-08,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
79,"LOC126283954","macrophage migration inhibitory factor homolog","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.39139793758045,4.14928664485693e-10,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
80,"LOC126299549","succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.07599719158087,7.72792187694191e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
81,"LOC126336244","acetyl-CoA acetyltransferase, mitochondrial","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.32262780894186,7.61352132091513e-20,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
82,"LOC126272450","uncharacterized oxidoreductase YjmC-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.05422237569257,0.0303487839577882,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
83,"LOC126278095","epidermal retinol dehydrogenase 2-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.20305079687899,0.00113896154553283,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
84,"LOC126284231","uncharacterized LOC126284231","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.36693790334992,5.11979828209906e-10,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
85,"LOC126336695","glutathione S-transferase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.62375771998625,1.66336646657934e-14,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
86,"LOC126271850","uncharacterized LOC126271850","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.56741716742159,2.89816288930328e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
87,"LOC126273129","ejaculatory bulb-specific protein 3-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.3420271741391,0.00572449619384393,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
88,"LOC126272375","DNA repair protein XRCC2-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.18601866361145,0.0131096712857854,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
89,"LOC126284218","phenoloxidase 1-like","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.27900084334722,0.0380817901119205,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
90,"LOC126272158","retinol-binding protein pinta-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.19819671034577,0.00962632103370924,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
91,"LOC126272024","retinol-binding protein pinta-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.99639262075416,0.000158157263001079,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
92,"LOC126272156","retinol-binding protein pinta-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.83710203874215,0.000786953439442939,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
93,"LOC126323251","bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.24759541105448,0.00783282721494655,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
94,"LOC126272370","GATOR complex protein NPRL2-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.01021502032438,0.0174012068810647,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
95,"LOC126336874","uncharacterized LOC126336874","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.58060475379542,6.03254291569339e-07,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
96,"LOC126336875","enhancer of split mbeta protein-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.80135562081432,2.83071338722607e-08,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
97,"LOC126266657","UDP-glucose 6-dehydrogenase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60384344902197,0.000294437787544098,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
98,"LOC126336531","proline-rich protein 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.84735008544998,0.00846562271945208,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
99,"LOC126336529","proline-rich protein 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.64526112377247,8.4422756920726e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
100,"LOC126336539","proline-rich protein 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",4.67473353426754,1.21682562287698e-07,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
101,"LOC126336538","proline-rich protein 2-like","protein_coding","Infection + diet","control_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",4.27373302971053,4.58163863540465e-13,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
102,"LOC126336532","proline-rich protein 2-like","protein_coding","Infection + diet","control_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.73796593826927,9.75280383810314e-08,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
103,"LOC126336533","proline-rich protein 2-like","protein_coding","Infection + diet","control_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",4.00875991168389,1.08236097283272e-09,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
104,"LOC126336537","proline-rich protein 2-like","protein_coding","Infection + diet","control_diet83_vs33; infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets","Average control; Control diet 33; Infected diet 33",4.11638666938915,0.00329650850431209,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
105,"LOC126336534","proline-rich protein HaeIII subfamily 1-like","protein_coding","Infection + diet","control_diet83_vs33; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",5.3478611379732,6.20687681232053e-11,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
106,"LOC126336535","proline-rich protein 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",4.38768362903651,2.45437063022122e-07,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
107,"LOC126284269","uncharacterized LOC126284269","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.31731744929425,1.77969913773755e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
108,"LOC126353947","uncharacterized LOC126353947","lncRNA","Infection within diet","infection_diet50","Control diet 50",1.06922981374326,0.00468917018882596,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
109,"LOC126282456","uncharacterized LOC126282456","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",3.26262946562077,4.1835415733483e-07,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
110,"LOC126336759","ubiquinone biosynthesis O-methyltransferase, mitochondrial-like","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.24419566523558,0.00169160710646047,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
111,"LOC126272129","peroxiredoxin-6-like","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.4841947867042,0.0173241180905586,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
112,"LOC126354710","rap guanine nucleotide exchange factor 4","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.71031169944208,0.0307667025477734,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
113,"LOC126355799","facilitated trehalose transporter Tret1-like","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.7276482210576,0.000397354484227428,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
114,"LOC126281690","TNF receptor-associated factor 3","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.55609751899795,6.47984218548724e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
