"canonical_gene_order","gene_id","heatmap_row_order","original_branch","original_pheatmap_cluster_id","original_within_cluster_order","proposed_merged_cluster","Description","gene_biotype","DEG_context","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","n_GO_annotations","n_KEGG_annotations"
511,"LOC126337999",511,"Branch 1",2,511,"DEG cluster 1","uncharacterized LOC126337999","protein_coding","Infection within diet",1,"infection_diet83","Control diet 83",1.37529912549963,0.038427986175735,1.88117944948836,"1020","Lower than gene mean",0,0
512,"LOC126278249",512,"Branch 1",2,512,"DEG cluster 1","arginine kinase","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.41252979681241,0.000619938614176479,2.42228681378681,"1027","Lower than gene mean",1,1
513,"LOC126327243",513,"Branch 1",2,513,"DEG cluster 1","phosphate carrier protein, mitochondrial-like","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.14541686642962,0.00907453673109981,3.20501716842116,"1020","Lower than gene mean",1,0
514,"LOC126282419",514,"Branch 1",2,514,"DEG cluster 1","A disintegrin and metalloproteinase with thrombospondin motifs 12-like","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.17887437591639,0.0233422577464931,1.94923812827367,"1054","Lower than gene mean",1,0
515,"LOC126266713",515,"Branch 1",2,515,"DEG cluster 1","spondin-2-like","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.69011785633383,0.0128937009563958,1.90260602532364,"1054","Lower than gene mean",1,0
516,"LOC126334820",516,"Branch 1",2,516,"DEG cluster 1","uncharacterized LOC126334820","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.67379892927785,0.000182972991738428,2.20222804234406,"1054","Lower than gene mean",1,0
517,"LOC126297986",517,"Branch 1",2,517,"DEG cluster 1","serine/threonine-protein kinase PLK1-like","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.13251452751192,0.0375091235966116,2.05897597185445,"1058","Lower than gene mean",0,1
518,"LOC126284252",518,"Branch 1",2,518,"DEG cluster 1","somatomedin-B and thrombospondin type-1 domain-containing protein","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.58617791723994,0.0396046288540904,2.13195919044091,"1057","Lower than gene mean",0,0
519,"LOC126285114",519,"Branch 1",2,519,"DEG cluster 1","uncharacterized LOC126285114","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.08514792531489,0.00462378468504972,2.01147978510404,"1058","Lower than gene mean",0,0
520,"LOC126266752",520,"Branch 1",2,520,"DEG cluster 1","laminin subunit gamma-1","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.09661638893921,0.03133743194825,2.20752705724326,"1054","Lower than gene mean",1,1
521,"LOC126322142",521,"Branch 1",2,521,"DEG cluster 1","protein phosphatase PHLPP-like protein","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.25317192037903,0.0405182697521187,2.09397048551565,"1054","Lower than gene mean",1,1
522,"LOC126266830",522,"Branch 1",2,522,"DEG cluster 1","protein slit","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.07139019161034,0.0303487839577882,2.01749668467854,"1040","Higher than gene mean",1,1
523,"LOC126334985",523,"Branch 1",2,523,"DEG cluster 1","ATP-binding cassette sub-family C member 4-like","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.39022211056884,0.0136321076301351,2.20120019279362,"1024","Lower than gene mean",0,0
524,"LOC126272094",524,"Branch 1",2,524,"DEG cluster 1","ribosome-binding protein 1","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.3076858806211,0.0300994967029829,1.95023035894549,"1050","Higher than gene mean",1,0
525,"LOC126335294",525,"Branch 1",2,525,"DEG cluster 1","uncharacterized LOC126335294","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.22125746071631,0.0160699281410078,2.20060544284066,"1024","Lower than gene mean",1,0
526,"LOC126298442",526,"Branch 1",2,526,"DEG cluster 1","rho guanine nucleotide exchange factor 17","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.01818794393295,0.0267368325817419,2.1730822792527,"1040","Higher than gene mean",1,0
527,"LOC126335577",527,"Branch 1",2,527,"DEG cluster 1","ATP-binding cassette sub-family C member 4-like","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.42919047705605,0.036166183309619,2.00030856909298,"1040","Higher than gene mean",0,1
528,"LOC126268023",528,"Branch 1",2,528,"DEG cluster 1","trophoblast glycoprotein-like","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.49954406966138,0.000293821230113739,2.24393822938131,"1015","Lower than gene mean",0,0
529,"LOC126336208",529,"Branch 1",2,529,"DEG cluster 1","uncharacterized LOC126336208","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.65884909874469,0.025800010878387,2.20305899733294,"1009","Higher than gene mean",0,0
530,"LOC126298873",530,"Branch 1",2,530,"DEG cluster 1","SET and MYND domain-containing protein 4-like","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.68432835556959,0.0428240514677577,2.07370275252718,"1016","Lower than gene mean",0,0
531,"LOC126364340",531,"Branch 1",2,531,"DEG cluster 1","N-acylneuraminate-9-phosphatase","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.45569437260527,0.0238483669453341,2.76068153562733,"1020","Lower than gene mean",1,0
532,"LOC126354386",532,"Branch 1",2,532,"DEG cluster 1","uncharacterized LOC126354386","lncRNA","Infection within diet",1,"infection_diet50","Control diet 50",1.6880000996962,0.0450626122130058,2.5239494291872,"1020","Lower than gene mean",0,0
533,"LOC126267460",533,"Branch 1",2,533,"DEG cluster 1","uncharacterized LOC126267460","lncRNA","Infection within diet",1,"infection_diet50","Control diet 50",1.43790866791478,0.0414102949228144,2.16048568145751,"1040","Higher than gene mean",0,0
534,"LOC126335373",534,"Branch 1",2,534,"DEG cluster 1","phospholipid transfer protein C2CD2L","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.19404169390747,0.0426274243071982,2.26270555882706,"1029","Lower than gene mean",0,0
535,"LOC126336961",535,"Branch 1",2,535,"DEG cluster 1","homeobox protein Mohawk","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.69963843942639,0.00620098552225685,2.04118539271363,"1020","Lower than gene mean",0,0
536,"LOC126269762",536,"Branch 1",2,536,"DEG cluster 1","uncharacterized LOC126269762","lncRNA","Infection within diet",1,"infection_average_all_diets","Average control",1.48620277214773,0.0300533847463181,2.22308764369133,"1041","Higher than gene mean",0,0
537,"LOC126284316",537,"Branch 1",2,537,"DEG cluster 1","uncharacterized LOC126284316","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",2.01725696851468,0.00125757074012257,2.66812241133958,"1040","Higher than gene mean",0,0
538,"LOC126337020",538,"Branch 1",2,538,"DEG cluster 1","pseudouridylate synthase RPUSD2-like","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.008534707268,0.00808569543964319,2.58696197038018,"1040","Higher than gene mean",0,0
539,"LOC126267503",539,"Branch 1",2,539,"DEG cluster 1","nephrin-like","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.09790370654175,0.0217048573002634,2.10140090135557,"1038","Higher than gene mean",0,0
540,"LOC126284488",540,"Branch 1",2,540,"DEG cluster 1","protein sidekick-2-like","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.2376190723151,0.0128331625893359,2.39172360298696,"1040","Higher than gene mean",0,0
541,"LOC126298763",541,"Branch 1",2,541,"DEG cluster 1","uncharacterized LOC126298763","protein_coding","Infection within diet",2,"infection_diet50; infection_diet83","Control diet 50; Control diet 83",1.36845173115666,0.0245926609745753,1.9639828615502,"1020","Lower than gene mean",0,0
542,"LOC126334783",542,"Branch 1",2,542,"DEG cluster 1","agrin-like","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.26784929405107,0.00185774039148582,1.84496646522643,"1040","Higher than gene mean",0,0
543,"LOC126354739",543,"Branch 1",2,543,"DEG cluster 1","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.13154563497578,0.048611406984662,2.55866730441243,"1020","Lower than gene mean",0,0
544,"LOC126295407",544,"Branch 1",2,544,"DEG cluster 1","heat shock protein 60A","protein_coding","Infection within diet",2,"infection_diet50; infection_diet83","Control diet 50; Control diet 83",1.24545218765025,0.010140268483324,2.57395804233637,"1020","Lower than gene mean",0,1
545,"LOC126349792",545,"Branch 1",2,545,"DEG cluster 1","complement component 1 Q subcomponent-binding protein, mitochondrial","protein_coding","Infection within diet",2,"infection_diet50; infection_diet83","Control diet 50; Control diet 83",1.04366608176044,0.00268486458156797,2.42777501678963,"1024","Lower than gene mean",1,1
546,"LOC126354668",546,"Branch 1",2,546,"DEG cluster 1","nucleoplasmin-like protein","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.00321111120891,0.000881675412462107,2.14493781385856,"1037","Higher than gene mean",1,0
547,"LOC126281610",547,"Branch 1",2,547,"DEG cluster 1","uncharacterized abhydrolase domain-containing protein DDB_G0269086","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.28788476175967,0.00665981886263365,3.11572008704784,"1020","Lower than gene mean",0,0
548,"LOC126365814",548,"Branch 1",2,548,"DEG cluster 1","uncharacterized LOC126365814","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.01875836951417,0.010456629868418,2.77045015978929,"1027","Lower than gene mean",0,0
549,"LOC126268239",549,"Branch 1",2,549,"DEG cluster 1","myosin heavy chain kinase B","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.70630708475638,0.00393713616190243,2.2849250369949,"1020","Lower than gene mean",0,0
550,"LOC126319790",550,"Branch 1",2,550,"DEG cluster 1","aquaporin-11","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.04213095913495,0.0273067798633341,2.55888651110718,"1020","Lower than gene mean",0,0
551,"LOC126284258",551,"Branch 1",2,551,"DEG cluster 1","protein vestigial","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.06181901824646,0.0294579363070015,3.12525404697583,"1020","Lower than gene mean",1,0
552,"LOC126353951",552,"Branch 1",2,552,"DEG cluster 1","protein lingerer","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.11239697920759,0.0111463732671373,3.54098888478663,"1020","Lower than gene mean",1,1
553,"LOC126298286",553,"Branch 1",2,553,"DEG cluster 1","zinc finger protein squeeze-like","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.63543004325132,3.10786646108833e-06,2.47419054276636,"1027","Lower than gene mean",1,0
554,"LOC126356238",554,"Branch 1",2,554,"DEG cluster 1","uncharacterized LOC126356238","lncRNA","Infection within diet",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.31319914422223,0.0012769961558888,1.97472118427275,"1002","Lower than gene mean",0,0
555,"LOC126299020",555,"Branch 1",2,555,"DEG cluster 1","prefoldin subunit 2-like","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.13147391557479,0.0117328004515012,2.27446768379563,"1016","Lower than gene mean",0,0
556,"LOC126355887",556,"Branch 1",2,556,"DEG cluster 1","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.23426113317841,0.00109556164566734,3.67136435837016,"1002","Lower than gene mean",0,0
557,"LOC126293550",557,"Branch 1",2,557,"DEG cluster 1","uncharacterized LOC126293550","lncRNA","Infection within diet",1,"infection_average_all_diets","Average control",1.43309632033373,0.00414123693508708,2.01711797252459,"1007","Higher than gene mean",0,0
558,"LOC126293505",558,"Branch 1",2,558,"DEG cluster 1","uncharacterized LOC126293505","lncRNA","Infection within diet",1,"infection_diet83","Control diet 83",1.3042159115932,0.0258200421534525,3.58091248984584,"1016","Lower than gene mean",0,0
559,"LOC126299530",559,"Branch 1",2,559,"DEG cluster 1","uncharacterized LOC126299530","protein_coding","Infection within diet",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.43801015703701,2.40138729896373e-09,2.45492315402225,"1016","Lower than gene mean",0,0
560,"LOC126335543",560,"Branch 1",2,560,"DEG cluster 1","uncharacterized LOC126335543","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.42080921146229,1.87268945898373e-05,2.39611295655113,"1002","Lower than gene mean",0,0
561,"LOC126299050",561,"Branch 1",2,561,"DEG cluster 1","serine proteinase stubble","protein_coding","Infection within diet",1,"infection_diet83","Control diet 83",1.20902258703491,0.0332441235030173,2.77457209469564,"1020","Lower than gene mean",1,0
562,"LOC126268125",562,"Branch 1",2,562,"DEG cluster 1","semaphorin-5A","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.18135378326482,0.037548944399603,2.6938855970006,"1020","Lower than gene mean",0,0
563,"LOC126272256",563,"Branch 1",2,563,"DEG cluster 1","uncharacterized LOC126272256","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.03509946728913,0.0112894543161072,2.74122727122241,"1020","Lower than gene mean",1,1
564,"LOC126334868",564,"Branch 1",2,564,"DEG cluster 1","troponin C, isoallergen Bla g 6.0301","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.08639279785513,0.0224871856152516,1.95018993393087,"1020","Lower than gene mean",0,0
565,"LOC126336682",565,"Branch 1",2,565,"DEG cluster 1","uncharacterized LOC126336682","protein_coding","Infection within diet",2,"infection_diet50; infection_diet83","Control diet 50; Control diet 83",1.09176604679367,0.00208708193433088,2.51202752563036,"1024","Lower than gene mean",1,0
566,"LOC126297845",566,"Branch 1",2,566,"DEG cluster 1","O-acyltransferase like protein","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.01248162204599,0.0180498206525914,1.99126142384637,"1058","Lower than gene mean",1,0
567,"LOC126326240",567,"Branch 1",2,567,"DEG cluster 1","uncharacterized LOC126326240","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.81403186692043,8.23901030286057e-07,2.74428545636183,"1058","Lower than gene mean",0,0
568,"LOC126267432",568,"Branch 1",2,568,"DEG cluster 1","BTB/POZ domain-containing protein Tiwaz","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.39606522092876,1.3741572956637e-11,2.17831867786558,"1032","Higher than gene mean",1,0
569,"LOC126336597",569,"Branch 1",2,569,"DEG cluster 1","uncharacterized LOC126336597","protein_coding","Infection within diet",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.59948627504707,7.7195587398787e-15,2.3203239891181,"1058","Lower than gene mean",1,0
570,"LOC126299347",570,"Branch 1",2,570,"DEG cluster 1","uncharacterized LOC126299347","lncRNA","Infection within diet",1,"infection_diet83","Control diet 83",1.03873277622298,0.0227393458497589,2.89774136507852,"1016","Lower than gene mean",0,0
571,"LOC126272525",571,"Branch 1",2,571,"DEG cluster 1","DNA replication complex GINS protein PSF3","protein_coding","Infection within diet",1,"infection_diet83","Control diet 83",1.01549899655068,0.0396525117807394,2.68723148142813,"1002","Lower than gene mean",1,0
572,"LOC126353864",572,"Branch 1",2,572,"DEG cluster 1","uncharacterized LOC126353864","protein_coding","Infection within diet",1,"infection_diet83","Control diet 83",1.08984204525315,0.0104954897333069,3.12960789768045,"1002","Lower than gene mean",0,0
573,"LOC126268236",573,"Branch 1",2,573,"DEG cluster 1","uncharacterized LOC126268236","protein_coding","Infection within diet",1,"infection_diet83","Control diet 83",1.2304950653395,0.0103128279986109,2.07254482237231,"1029","Lower than gene mean",0,0
574,"LOC126298818",574,"Branch 1",2,574,"DEG cluster 1","centromere protein S-like","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.6862728867235,0.000842565765029563,3.08555892661275,"1024","Lower than gene mean",0,1
575,"LOC126272307",575,"Branch 1",2,575,"DEG cluster 1","uncharacterized LOC126272307","protein_coding","Infection within diet",1,"infection_diet83","Control diet 83",1.01254289211301,0.039494885654147,2.12244915011553,"1024","Lower than gene mean",0,0
576,"LOC126283952",576,"Branch 1",2,576,"DEG cluster 1","uncharacterized LOC126283952","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.4677305039433,1.31515325402074e-05,1.86618139294424,"1016","Lower than gene mean",0,0
577,"LOC126278549",577,"Branch 1",2,577,"DEG cluster 1","histone H2A-like","protein_coding","Infection within diet",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.54610536954569,1.57839773605803e-08,2.26006581137573,"1023","Lower than gene mean",0,1
578,"LOC126355970",578,"Branch 1",2,578,"DEG cluster 1","PCNA-associated factor-like","protein_coding","Infection within diet",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.55135307058829,1.51578658045521e-07,3.06457910764499,"1023","Lower than gene mean",0,0
579,"LOC126284739",579,"Branch 1",2,579,"DEG cluster 1","apoptosis regulatory protein Siva-like","protein_coding","Infection within diet",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.23049247805842,1.06183559861849e-09,2.32345223367557,"1024","Lower than gene mean",0,0
580,"LOC126284573",580,"Branch 1",2,580,"DEG cluster 1","deoxyuridine 5'-triphosphate nucleotidohydrolase-like","protein_coding","Infection within diet",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.93981533691415,2.85905878188951e-09,1.97979926891908,"1049","Lower than gene mean",1,1
581,"LOC126334974",581,"Branch 1",2,581,"DEG cluster 1","transcription factor E2F6-like","protein_coding","Infection within diet",1,"infection_diet83","Control diet 83",1.0620996313418,0.000144168741108251,2.42668619624939,"1041","Higher than gene mean",0,1
582,"LOC126295330",582,"Branch 1",2,582,"DEG cluster 1","uncharacterized LOC126295330","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.57481408701876,9.54083536862249e-08,1.99018998401668,"1041","Higher than gene mean",0,0
583,"LOC126335481",583,"Branch 1",2,583,"DEG cluster 1","DNA primase large subunit","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.11554565997957,1.19383822873958e-07,1.71057644967864,"1002","Lower than gene mean",1,1
584,"LOC126336636",584,"Branch 1",2,584,"DEG cluster 1","uncharacterized LOC126336636","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.84397127949528,1.04939106668416e-07,2.04417962261263,"1020","Lower than gene mean",0,0
585,"LOC126278346",585,"Branch 1",2,585,"DEG cluster 1","baculoviral IAP repeat-containing protein 5.2-B","protein_coding","Infection within diet",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.51029785141249,7.64709225312508e-07,1.96310654208947,"1041","Higher than gene mean",1,1
586,"LOC126354120",586,"Branch 1",2,586,"DEG cluster 1","hyaluronan mediated motility receptor-like","protein_coding","Infection within diet",1,"infection_diet83","Control diet 83",1.0092235263326,0.00379828108043343,2.28458897091819,"1041","Higher than gene mean",0,1
587,"LOC126272743",587,"Branch 1",2,587,"DEG cluster 1","G2/mitotic-specific cyclin-B-like","protein_coding","Infection within diet",1,"infection_diet50","Control diet 50",1.0190981509258,0.00881958365740284,2.30318959672572,"1049","Lower than gene mean",1,1
588,"LOC126295329",588,"Branch 1",2,588,"DEG cluster 1","uncharacterized LOC126295329","protein_coding","Infection within diet",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.12975378786491,7.04030293657151e-07,2.21915571286324,"1041","Higher than gene mean",0,0
589,"LOC126267464",589,"Branch 1",2,589,"DEG cluster 1","ATP-dependent DNA helicase DDX11","protein_coding","Infection within diet",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.92776407751177,6.65365641976553e-08,2.08203744791404,"1016","Lower than gene mean",1,0
590,"LOC126356140",590,"Branch 1",2,590,"DEG cluster 1","proliferation marker protein Ki-67-like","protein_coding","Infection within diet",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.19393408871668,3.6177733155535e-07,1.91372571375153,"1054","Lower than gene mean",0,0
591,"LOC126266629",591,"Branch 1",2,591,"DEG cluster 1","uncharacterized LOC126266629","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60627106471304,2.83805576565442e-05,1.82222669798387,"1054","Lower than gene mean",0,0
592,"LOC126284413",592,"Branch 1",2,592,"DEG cluster 1","protein abnormal spindle-like","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.45420650498301,2.59326163728735e-05,1.6919326609162,"1025","Lower than gene mean",1,0
593,"LOC126272178",593,"Branch 1",2,593,"DEG cluster 1","uncharacterized LOC126272178","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.57143159165446,8.15763543232621e-05,2.27354591389727,"1005","Lower than gene mean",1,1
594,"LOC126334768",594,"Branch 1",2,594,"DEG cluster 1","aurora kinase C-like","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.48419104522222,1.54445129305204e-05,2.0272369749456,"1016","Lower than gene mean",1,0
595,"LOC126334907",595,"Branch 1",2,595,"DEG cluster 1","uncharacterized LOC126334907","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.11399353457135,2.7674622205293e-05,1.78491765020591,"1029","Lower than gene mean",1,0
596,"LOC126266746",596,"Branch 1",2,596,"DEG cluster 1","uncharacterized LOC126266746","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.34118240574418,8.23825317556049e-06,1.93501161092931,"1041","Higher than gene mean",1,0
597,"LOC126279120",597,"Branch 1",2,597,"DEG cluster 1","cyclin-dependent kinase 1-like","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.24963032361404,6.81240427576595e-06,2.10366035969629,"1016","Lower than gene mean",1,1
598,"LOC126282371",598,"Branch 1",2,598,"DEG cluster 1","cyclin-dependent kinase 1-like","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.48770128926056,0.000199045717914092,2.78920504245289,"1016","Lower than gene mean",1,1
599,"LOC126334614",599,"Branch 1",2,599,"DEG cluster 1","kinesin-like protein KIF20B","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.5596869341511,4.32771375002358e-05,2.47201935973855,"1016","Lower than gene mean",1,0
600,"LOC126284006",600,"Branch 1",2,600,"DEG cluster 1","citron rho-interacting kinase","protein_coding","Infection within diet",1,"infection_diet33","Control diet 33",1.05166178020177,0.0333482236380914,1.9392641469759,"1029","Lower than gene mean",1,0
601,"LOC126281393",601,"Branch 1",2,601,"DEG cluster 1","uncharacterized LOC126281393","protein_coding","Infection within diet",1,"infection_diet83","Control diet 83",1.06024017864393,0.0256968483976,2.35784374857428,"1029","Lower than gene mean",0,0
602,"LOC126285386",602,"Branch 1",2,602,"DEG cluster 1","uncharacterized LOC126285386","protein_coding","Infection within diet",2,"infection_diet33; infection_diet83","Control diet 33; Control diet 83",1.26611032879197,0.0217665658951263,2.10115122275736,"1041","Higher than gene mean",0,0
603,"LOC126298942",603,"Branch 1",2,603,"DEG cluster 1","uncharacterized LOC126298942","protein_coding","Infection within diet",1,"infection_diet33","Control diet 33",1.02597709904036,0.039935036446912,1.84351737589078,"1041","Higher than gene mean",0,0
604,"LOC126334906",604,"Branch 1",2,604,"DEG cluster 1","targeting protein for Xklp2-like","protein_coding","Infection within diet",1,"infection_diet83","Control diet 83",1.15714054294503,0.0399113558670933,2.06776327168091,"1041","Higher than gene mean",1,1
605,"LOC126361189",605,"Branch 1",2,605,"DEG cluster 1","uncharacterized LOC126361189","protein_coding","Infection within diet",1,"infection_average_all_diets","Average control",1.194336980924,0.000107293378627935,1.90962058758965,"1005","Lower than gene mean",1,0
606,"LOC126272312",606,"Branch 1",2,606,"DEG cluster 1","myosin-11","protein_coding","Infection within diet",1,"infection_diet33","Control diet 33",1.01914154969847,0.0419354677180231,1.85750745243427,"1058","Lower than gene mean",1,0
607,"LOC126273149",607,"Branch 1",2,607,"DEG cluster 1","kinesin-like protein KIF22","protein_coding","Infection within diet",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.58123370835358,9.48308379312021e-06,1.9731158856073,"1058","Lower than gene mean",1,1
608,"LOC126284373",608,"Branch 1",2,608,"DEG cluster 1","uncharacterized LOC126284373","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.44189652850569,5.74003833676236e-06,2.87363840269572,"1002","Lower than gene mean",0,0
609,"LOC126284892",609,"Branch 1",2,609,"DEG cluster 1","uncharacterized LOC126284892","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.19477956620555,7.08251986153857e-07,2.16329188256389,"1002","Lower than gene mean",0,0
610,"LOC126354368",610,"Branch 1",2,610,"DEG cluster 1","rac GTPase-activating protein 1","protein_coding","Infection within diet",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.06470245994918,8.30229937677196e-05,2.28789790931392,"1002","Lower than gene mean",0,0
611,"LOC126359288",611,"Branch 1",2,611,"DEG cluster 1","repetitive organellar protein-like","protein_coding","Infection within diet",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.1836428126172,8.09569502535186e-06,2.10619982039789,"1002","Lower than gene mean",0,0
612,"LOC126267242",612,"Branch 1",2,612,"DEG cluster 1","chromosome-associated kinesin KIF4","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.31712244198984,9.30976688958937e-06,2.02362721151937,"1002","Lower than gene mean",1,0
613,"LOC126278524",613,"Branch 1",2,613,"DEG cluster 1","anillin-like","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.3714089281249,4.47126409557008e-05,2.30229345162685,"1002","Lower than gene mean",1,0
614,"LOC126272470",614,"Branch 1",2,614,"DEG cluster 1","mitotic checkpoint serine/threonine-protein kinase BUB1-like","protein_coding","Infection within diet",3,"infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.29156870078669,2.06580777250547e-05,2.32926631520451,"1002","Lower than gene mean",1,1
