"foreground_set","pathway_theme","pathway_scope","term_id","term_name","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj"
"Expression cluster 1","Cellular process","Eukaryote/metazoan-compatible","ko04110","Cell cycle","19/264","89/3900",4.80131467103156e-06,0.00165645356150589,0.00165645356150589,19,"LOC126355755","origin recognition complex subunit 2","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.12579715295762,0.00180211288788869
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126266827","senecionine N-oxygenase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.53838171149674,0.00176800532166261
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126266828","senecionine N-oxygenase-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.8599222029282,0.000451404757603341
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126268126","acidic amino acid decarboxylase GADL1","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.24509314075761,0.0030352533540094
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126272256","uncharacterized LOC126272256","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.03509946728913,0.0112894543161072
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126272715","fumarylacetoacetase","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.04589541647465,0.0060305006538259
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126272888","uncharacterized LOC126272888","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.99073478908765,2.28099557763857e-05
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126281446","aldehyde dehydrogenase, mitochondrial","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.40381350253425,9.70370585933816e-08
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126281532","transaldolase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.83327113607125,2.88913050489602e-16
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126281954","alcohol dehydrogenase class-3","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.43941423411776,1.16513263907724e-09
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126281958","fructose-1,6-bisphosphatase 1","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.1463202186871,3.07332891596629e-06
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126284898","fructose-bisphosphate aldolase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.83022136433726,1.34144443781094e-06
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126297494","glucose-6-phosphate 1-dehydrogenase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.37221322080482,1.46727259494981e-12
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126323251","bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.24759541105448,0.00783282721494655
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126334891","porphobilinogen deaminase","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.12662474373471,0.0230219245086845
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126335505","isocitrate dehydrogenase [NADP] cytoplasmic","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.5180888832306,6.77477367762524e-09
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126336122","NADP-dependent malic enzyme-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",2.15906430951041,3.95946935872499e-08
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126336244","acetyl-CoA acetyltransferase, mitochondrial","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.32262780894186,7.61352132091513e-20
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126336251","enoyl-CoA hydratase, mitochondrial-like","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.10476208074477,0.0239687094686089
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126336866","NADP-dependent malic enzyme-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",3.07808647969435,7.47456554555734e-13
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126350022","alpha-aminoadipic semialdehyde dehydrogenase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.22418922766733,0.000204932334110024
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126354574","phosphoenolpyruvate phosphomutase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.32573172154775,0.000687986922503077
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126355885","pyridoxine/pyridoxamine 5'-phosphate oxidase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.31894208386764,4.78332143725188e-08
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126355949","mitochondrial enolase superfamily member 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.2679399400508,4.57376502409677e-07
"Expression cluster 1","Detoxification and secondary metabolism","Broad KEGG reference map","ko01120","Microbial metabolism in diverse environments","24/264","149/3900",4.53511318508745e-05,0.00782307024427586,0.00782307024427586,24,"LOC126365941","cytoplasmic aconitate hydratase-like","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.29730836149136,5.21535237164887e-06
"Expression cluster 1","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain","ko00981","Insect hormone biosynthesis","8/264","24/3900",0.000112399291072278,0.00909730284345418,0.00909730284345418,8,"LOC126268026","juvenile hormone esterase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.03746411434994,0.00604487484273802
"Expression cluster 1","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain","ko00981","Insect hormone biosynthesis","8/264","24/3900",0.000112399291072278,0.00909730284345418,0.00909730284345418,8,"LOC126281446","aldehyde dehydrogenase, mitochondrial","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50; infection_diet83","Average control; Control diet 50; Control diet 83",1.40381350253425,9.70370585933816e-08
"Expression cluster 1","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain","ko00981","Insect hormone biosynthesis","8/264","24/3900",0.000112399291072278,0.00909730284345418,0.00909730284345418,8,"LOC126299150","ecdysone 20-monooxygenase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",2.51740327475655,3.92497752589846e-09
"Expression cluster 1","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain","ko00981","Insect hormone biosynthesis","8/264","24/3900",0.000112399291072278,0.00909730284345418,0.00909730284345418,8,"LOC126305900","cytochrome P450 306a1","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.71905466326987,2.42546360082262e-07
"Expression cluster 1","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain","ko00981","Insect hormone biosynthesis","8/264","24/3900",0.000112399291072278,0.00909730284345418,0.00909730284345418,8,"LOC126320178","cytochrome P450 315a1, mitochondrial","protein_coding","Infection within diet","infection_diet50","Control diet 50",2.05774605075551,0.000259760146452186
"Expression cluster 1","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain","ko00981","Insect hormone biosynthesis","8/264","24/3900",0.000112399291072278,0.00909730284345418,0.00909730284345418,8,"LOC126335148","juvenile hormone acid O-methyltransferase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.12295895705543,0.00827758190841747
"Expression cluster 1","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain","ko00981","Insect hormone biosynthesis","8/264","24/3900",0.000112399291072278,0.00909730284345418,0.00909730284345418,8,"LOC126343702","juvenile hormone epoxide hydrolase 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.51518262839498,0.00085348115775967
"Expression cluster 1","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain","ko00981","Insect hormone biosynthesis","8/264","24/3900",0.000112399291072278,0.00909730284345418,0.00909730284345418,8,"LOC126343748","juvenile hormone epoxide hydrolase 1-like","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.32691455731668,0.010355118217367
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126266827","senecionine N-oxygenase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.53838171149674,0.00176800532166261
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126266828","senecionine N-oxygenase-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.8599222029282,0.000451404757603341
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126267788","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.05189525091052,0.0203451225737404
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126272560","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","infection_diet50; infection_diet83","Control diet 50; Control diet 83",1.51612003011281,0.0207031042496105
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126272831","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.40802821506732,2.66511305117321e-13
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126272888","uncharacterized LOC126272888","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.99073478908765,2.28099557763857e-05
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126272926","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.32363162535896,0.0305339862137302
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126281562","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.67639811977324,1.2901651155649e-11
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126281954","alcohol dehydrogenase class-3","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.43941423411776,1.16513263907724e-09
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126282396","uncharacterized LOC126282396","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",2.70549361143469,2.45797182837958e-07
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126331335","microsomal glutathione S-transferase 1-like","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.62027224878749,0.0308629160018005
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126336692","glutathione S-transferase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.48431987588218,3.23578719368072e-06
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126336695","glutathione S-transferase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.62375771998625,1.66336646657934e-14
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126336713","glutathione S-transferase 1-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.57134030938498,0.0136090484679316
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126336888","glutathione S-transferase 1-1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",2.05265644513625,0.0017589038413763
"Expression cluster 1","Detoxification and secondary metabolism","Core metabolism or cross-domain","ko00982","Drug metabolism - cytochrome P450","16/264","85/3900",0.000138263109802149,0.00909730284345418,0.00909730284345418,16,"LOC126341237","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.94765930657854,3.80637395072095e-06
"Expression cluster 1","Broad metabolic map","Broad KEGG reference map","ko01100","Metabolic pathways","92/264","962/3900",7.99424719545589e-05,0.00909730284345418,0.00909730284345418,92,"LOC126266596","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.41900141352957,2.66012354018331e-09
"Expression cluster 1","Broad metabolic map","Broad KEGG reference map","ko01100","Metabolic pathways","92/264","962/3900",7.99424719545589e-05,0.00909730284345418,0.00909730284345418,92,"LOC126266657","UDP-glucose 6-dehydrogenase","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.60384344902197,0.000294437787544098
"Expression cluster 1","Broad metabolic map","Broad KEGG reference map","ko01100","Metabolic pathways","92/264","962/3900",7.99424719545589e-05,0.00909730284345418,0.00909730284345418,92,"LOC126267081","DNA polymerase epsilon catalytic subunit 1","protein_coding","Infection within diet","infection_average_all_diets; infection_diet83","Average control; Control diet 83",1.21327321460465,2.62076461135251e-11
"Expression cluster 1","Broad metabolic map","Broad KEGG reference map","ko01100","Metabolic pathways","92/264","962/3900",7.99424719545589e-05,0.00909730284345418,0.00909730284345418,92,"LOC126267222","C-1-tetrahydrofolate synthase, cytoplasmic","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.52244807225106,1.90504611427735e-07
"Expression cluster 1","Broad metabolic map","Broad KEGG reference map","ko01100","Metabolic pathways","92/264","962/3900",7.99424719545589e-05,0.00909730284345418,0.00909730284345418,92,"LOC126267788","UDP-glucosyltransferase 2-like","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.05189525091052,0.0203451225737404
"Expression cluster 1","Broad metabolic map","Broad KEGG reference map","ko01100","Metabolic pathways","92/264","962/3900",7.99424719545589e-05,0.00909730284345418,0.00909730284345418,92,"LOC126268126","acidic amino acid decarboxylase GADL1","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.24509314075761,0.0030352533540094
"Expression cluster 1","Broad metabolic map","Broad KEGG reference map","ko01100","Metabolic pathways","92/264","962/3900",7.99424719545589e-05,0.00909730284345418,0.00909730284345418,92,"LOC126268218","isopentenyl-diphosphate Delta-isomerase 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.62796614520747,2.09560461325517e-10
"Expression cluster 1","Broad metabolic map","Broad KEGG reference map","ko01100","Metabolic pathways","92/264","962/3900",7.99424719545589e-05,0.00909730284345418,0.00909730284345418,92,"LOC126271923","DNA (cytosine-5)-methyltransferase 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.29361454675714,7.06551644794914e-10
"Expression cluster 1","Broad metabolic map","Broad KEGG reference map","ko01100","Metabolic pathways","92/264","962/3900",7.99424719545589e-05,0.00909730284345418,0.00909730284345418,92,"LOC126272256","uncharacterized LOC126272256","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.03509946728913,0.0112894543161072
