"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","pathway_theme","pathway_scope"
"ko00072","ko00072","2/275","6/3900",0.333333333333333,4.72727272727273,2.5162731427175,0.0614970826936689,0.385754427805741,0.385754427805741,"LOC126336244/LOC126299549",2,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Other KEGG pathway","Core metabolism or cross-domain"
"ko00440","Phosphonate and phosphinate metabolism","2/275","6/3900",0.333333333333333,4.72727272727273,2.5162731427175,0.0614970826936689,0.385754427805741,0.385754427805741,"LOC126354225/LOC126354574",2,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Other KEGG pathway","Core metabolism or cross-domain"
"ko00604","Glycosphingolipid biosynthesis - ganglio series","2/275","6/3900",0.333333333333333,4.72727272727273,2.5162731427175,0.0614970826936689,0.385754427805741,0.385754427805741,"LOC126354818/LOC126272931",2,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko00750","Vitamin B6 metabolism","2/275","6/3900",0.333333333333333,4.72727272727273,2.5162731427175,0.0614970826936689,0.385754427805741,0.385754427805741,"LOC126355885/LOC126293368",2,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Other KEGG pathway","Core metabolism or cross-domain"
"ko04740","Olfactory transduction","4/275","22/3900",0.181818181818182,2.57851239669421,2.04476966706238,0.0646169712960351,0.387116004480421,0.387116004480421,"LOC126355586/LOC126297585/LOC126334943/LOC126363150",4,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Other KEGG pathway","Core metabolism or cross-domain"
"ko00010","Glycolysis / Gluconeogenesis","6/275","41/3900",0.146341463414634,2.07538802660754,1.90637658363425,0.0650803717677229,0.387116004480421,0.387116004480421,"LOC126284898/LOC126350022/LOC126281958/LOC126272256/LOC126281954/LOC126281446",6,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00071","Fatty acid degradation","6/275","41/3900",0.146341463414634,2.07538802660754,1.90637658363425,0.0650803717677229,0.387116004480421,0.387116004480421,"LOC126336244/LOC126350022/LOC126281954/LOC126281446/LOC126336251/LOC126345263",6,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko00240","Pyrimidine metabolism","10/275","84/3900",0.119047619047619,1.68831168831169,1.75634392749272,0.0691411224113279,0.404299783591663,0.404299783591663,"LOC126335481/LOC126267081/LOC126335359/LOC126354588/LOC126284573/LOC126335182/LOC126292317/LOC126291698/LOC126355148/LOC126359832",10,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00720","Other carbon fixation pathways","3/275","14/3900",0.214285714285714,3.03896103896104,2.1047984051301,0.0706974040179781,0.406510073103374,0.406510073103374,"LOC126335505/LOC126365941/LOC126336244",3,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko04975","Fat digestion and absorption","4/275","23/3900",0.173913043478261,2.46640316205534,1.94248809140342,0.0740664513816743,0.418900421748814,0.418900421748814,"LOC126284686/LOC126336773/LOC126323656/LOC126272584",4,"KEGG_pathway","Expressed rRNA-filtered genes",275,3900,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
