sample_id	source	treatment	diet	abundance_format	abundance_file	kraken_report
1032	competitive_unmapped	Control	83	bracken	data/derived/taxonomy/main44/competitive_unmapped/1032.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1032.kraken2.report
1032	host_unmapped	Control	83	bracken	data/derived/taxonomy/main44/host_unmapped/1032.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1032.kraken2.report
1033	all_trimmed	Control	33	bracken	data/derived/taxonomy/main44/all_trimmed/1033.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1033.kraken2.report
1033	competitive_unmapped	Control	33	bracken	data/derived/taxonomy/main44/competitive_unmapped/1033.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1033.kraken2.report
1033	host_unmapped	Control	33	bracken	data/derived/taxonomy/main44/host_unmapped/1033.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1033.kraken2.report
1034	all_trimmed	Control	50	bracken	data/derived/taxonomy/main44/all_trimmed/1034.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1034.kraken2.report
1034	competitive_unmapped	Control	50	bracken	data/derived/taxonomy/main44/competitive_unmapped/1034.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1034.kraken2.report
1034	host_unmapped	Control	50	bracken	data/derived/taxonomy/main44/host_unmapped/1034.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1034.kraken2.report
1035	all_trimmed	Control	83	bracken	data/derived/taxonomy/main44/all_trimmed/1035.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1035.kraken2.report
1035	competitive_unmapped	Control	83	bracken	data/derived/taxonomy/main44/competitive_unmapped/1035.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1035.kraken2.report
1035	host_unmapped	Control	83	bracken	data/derived/taxonomy/main44/host_unmapped/1035.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1035.kraken2.report
1036	all_trimmed	Control	33	bracken	data/derived/taxonomy/main44/all_trimmed/1036.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1036.kraken2.report
1036	competitive_unmapped	Control	33	bracken	data/derived/taxonomy/main44/competitive_unmapped/1036.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1036.kraken2.report
1036	host_unmapped	Control	33	bracken	data/derived/taxonomy/main44/host_unmapped/1036.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1036.kraken2.report
1037	all_trimmed	Control	50	bracken	data/derived/taxonomy/main44/all_trimmed/1037.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1037.kraken2.report
1037	competitive_unmapped	Control	50	bracken	data/derived/taxonomy/main44/competitive_unmapped/1037.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1037.kraken2.report
1037	host_unmapped	Control	50	bracken	data/derived/taxonomy/main44/host_unmapped/1037.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1037.kraken2.report
1038	all_trimmed	Control	83	bracken	data/derived/taxonomy/main44/all_trimmed/1038.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1038.kraken2.report
1038	competitive_unmapped	Control	83	bracken	data/derived/taxonomy/main44/competitive_unmapped/1038.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1038.kraken2.report
1038	host_unmapped	Control	83	bracken	data/derived/taxonomy/main44/host_unmapped/1038.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1038.kraken2.report
1039	all_trimmed	Control	33	bracken	data/derived/taxonomy/main44/all_trimmed/1039.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1039.kraken2.report
1039	competitive_unmapped	Control	33	bracken	data/derived/taxonomy/main44/competitive_unmapped/1039.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1039.kraken2.report
1039	host_unmapped	Control	33	bracken	data/derived/taxonomy/main44/host_unmapped/1039.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1039.kraken2.report
1040	all_trimmed	Control	50	bracken	data/derived/taxonomy/main44/all_trimmed/1040.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1040.kraken2.report
1040	competitive_unmapped	Control	50	bracken	data/derived/taxonomy/main44/competitive_unmapped/1040.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1040.kraken2.report
1040	host_unmapped	Control	50	bracken	data/derived/taxonomy/main44/host_unmapped/1040.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1040.kraken2.report
1041	all_trimmed	Control	83	bracken	data/derived/taxonomy/main44/all_trimmed/1041.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1041.kraken2.report
1041	competitive_unmapped	Control	83	bracken	data/derived/taxonomy/main44/competitive_unmapped/1041.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1041.kraken2.report
1041	host_unmapped	Control	83	bracken	data/derived/taxonomy/main44/host_unmapped/1041.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1041.kraken2.report
1042	all_trimmed	Infected	33	bracken	data/derived/taxonomy/main44/all_trimmed/1042.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1042.kraken2.report
1042	competitive_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/competitive_unmapped/1042.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1042.kraken2.report
1042	host_unmapped	Infected	33	bracken	data/derived/taxonomy/main44/host_unmapped/1042.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1042.kraken2.report
1043	all_trimmed	Infected	50	bracken	data/derived/taxonomy/main44/all_trimmed/1043.bracken.family.tsv	data/derived/taxonomy/main44/all_trimmed/1043.kraken2.report
1043	competitive_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/competitive_unmapped/1043.bracken.family.tsv	data/derived/taxonomy/main44/competitive_unmapped/1043.kraken2.report
1043	host_unmapped	Infected	50	bracken	data/derived/taxonomy/main44/host_unmapped/1043.bracken.family.tsv	data/derived/taxonomy/main44/host_unmapped/1043.kraken2.report
