"enrichment_context","database","family","comparison","direction","plot_label","DEG_set","term_id","term_name","term_description","ontology_or_theme","pathway_scope","GeneRatio","BgRatio","FoldEnrichment","p.adjust","qvalue","Count","n_listed_genes","DEG_gene_IDs","DEG_gene_names"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0015075","monoatomic ion transmembrane transporter activity","monoatomic ion transmembrane transporter activity","MF",NA,"33/375","234/5278",1.98488888888889,0.00479003797155632,0.00479003797155632,33,33,"LOC126267409; LOC126267806; LOC126268194; LOC126269352; LOC126272139; LOC126272718; LOC126272767; LOC126278890; LOC126279309; LOC126279835; LOC126281351; LOC126282259; LOC126285413; LOC126292020; LOC126297555; LOC126298679; LOC126299447; LOC126324336; LOC126336038; LOC126336638; LOC126336688; LOC126353931; LOC126354788; LOC126355303; LOC126355684; LOC126355939; LOC126355940; LOC126356039; LOC126356065; LOC126356316; LOC126358740; LOC126365875; LOC126366011","mfrn; Mvl; Orct; Pain; Rdl; unannotated; w"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0005215","transporter activity","transporter activity","MF",NA,"46/375","373/5278",1.73574977658624,0.00596270763445611,0.00596270763445611,46,46,"LOC126267409; LOC126267806; LOC126268194; LOC126269352; LOC126272139; LOC126272718; LOC126272767; LOC126273067; LOC126278232; LOC126278890; LOC126278946; LOC126279309; LOC126279835; LOC126281351; LOC126282259; LOC126285413; LOC126292020; LOC126297555; LOC126298679; LOC126299332; LOC126299447; LOC126299550; LOC126320757; LOC126324336; LOC126334835; LOC126334955; LOC126336038; LOC126336375; LOC126336638; LOC126336688; LOC126353931; LOC126354017; LOC126354018; LOC126354478; LOC126354788; LOC126355303; LOC126355684; LOC126355939; LOC126355940; LOC126356039; LOC126356065; LOC126356316; LOC126357744; LOC126358740; LOC126365875; LOC126366011","Csat; mfrn; Mvl; NaPi-T; Orct; Pain; Rdl; Sur; unannotated; w"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0035966","response to topologically incorrect protein","response to topologically incorrect protein","BP",NA,"12/375","50/5278",3.37792,0.00694345096004218,0.00694345096004218,12,12,"LOC126278128; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425","unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0035967","cellular response to topologically incorrect protein","cellular response to topologically incorrect protein","BP",NA,"12/375","50/5278",3.37792,0.00694345096004218,0.00694345096004218,12,12,"LOC126278128; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425","unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0045879","negative regulation of smoothened signaling pathway","negative regulation of smoothened signaling pathway","BP",NA,"12/375","50/5278",3.37792,0.00694345096004218,0.00694345096004218,12,12,"LOC126278128; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425","unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0043410","positive regulation of MAPK cascade","positive regulation of MAPK cascade","BP",NA,"15/375","74/5278",2.85297297297297,0.00815843434446106,0.00815843434446106,15,15,"LOC126272858; LOC126278128; LOC126281663; LOC126282035; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425; LOC126354602","unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0046822","regulation of nucleocytoplasmic transport","regulation of nucleocytoplasmic transport","BP",NA,"12/375","52/5278",3.248,0.0100520902358903,0.0100520902358903,12,12,"LOC126278128; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425","unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0098542","defense response to other organism","defense response to other organism","BP",NA,"18/375","101/5278",2.50835643564356,0.0102857928999284,0.0102857928999284,18,18,"LOC126267163; LOC126267343; LOC126267876; LOC126269416; LOC126271975; LOC126272362; LOC126278673; LOC126282030; LOC126285462; LOC126293178; LOC126293181; LOC126297857; LOC126298648; LOC126322960; LOC126334779; LOC126334929; LOC126335036; LOC126352738","4EBP; LYSC6; Rel; SamDC; spz; Trx-2; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0050829","defense response to Gram-negative bacterium","defense response to Gram-negative bacterium","BP",NA,"9/375","32/5278",3.9585,0.0124586556460837,0.0124586556460837,9,9,"LOC126267163; LOC126267876; LOC126271975; LOC126272362; LOC126282030; LOC126297857; LOC126298648; LOC126322960; LOC126335036","LYSC6; Rel; SamDC; spz; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0033157","regulation of intracellular protein transport","regulation of intracellular protein transport","BP",NA,"12/375","54/5278",3.1277037037037,0.0140356294169904,0.0140356294169904,12,12,"LOC126278128; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425","unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0044281","small molecule metabolic process","small molecule metabolic process","BP",NA,"52/375","457/5278",1.60149380014588,0.0146629472680382,0.0146629472680382,52,52,"LOC126266748; LOC126266959; LOC126268164; LOC126270657; LOC126271955; LOC126276148; LOC126277907; LOC126278180; LOC126281245; LOC126281446; LOC126281861; LOC126281958; LOC126281994; LOC126282517; LOC126284002; LOC126284573; LOC126284662; LOC126292259; LOC126293368; LOC126295101; LOC126295146; LOC126297494; LOC126297821; LOC126297871; LOC126298001; LOC126298220; LOC126298530; LOC126299043; LOC126299078; LOC126299150; LOC126299185; LOC126299253; LOC126320178; LOC126323251; LOC126324953; LOC126333165; LOC126335154; LOC126335256; LOC126335505; LOC126335966; LOC126336122; LOC126336244; LOC126336656; LOC126336866; LOC126339036; LOC126353887; LOC126354995; LOC126355485; LOC126356204; LOC126357156; LOC126365911; LOC126365957","Aldh; Cyp18a1; Cyp314a1; CYP315A1; Ddc; fbl; GlcAT-P; Hex-A; Idh; Men; mmy; Mocs2; ninaB; Nmdmc; Pde9; UGP; unannotated; v; Zw"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0030162","regulation of proteolysis","regulation of proteolysis","BP",NA,"20/375","123/5278",2.28856368563686,0.0156125842067743,0.0156125842067743,20,20,"LOC126267226; LOC126278128; LOC126278220; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425; LOC126297745; LOC126326589; LOC126335544; LOC126335545; LOC126335547; LOC126354914","lok; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0042386","hemocyte differentiation","hemocyte differentiation","BP",NA,"6/375","15/5278",5.62986666666667,0.0156125842067743,0.0156125842067743,6,6,"LOC126266832; LOC126267038; LOC126278442; LOC126282035; LOC126293269; LOC126335350","dpp; Ser; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0070887","cellular response to chemical stimulus","cellular response to chemical stimulus","BP",NA,"32/375","241/5278",1.86883540802213,0.0156125842067743,0.0156125842067743,32,32,"LOC126266672; LOC126267038; LOC126269416; LOC126272746; LOC126276001; LOC126278128; LOC126278442; LOC126280991; LOC126281663; LOC126282035; LOC126291991; LOC126292145; LOC126293326; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425; LOC126297882; LOC126299541; LOC126334929; LOC126334930; LOC126334946; LOC126334959; LOC126335505; LOC126354602; LOC126355051; LOC126355485; LOC126365747","4EBP; Akhr; DOME; dpp; Hr39; Idh; Sod2; sog; Trx-2; unannotated"
"Non-directional enrichment","GO","Diet 50","Diet 50","Not split by direction","Diet 50","Diet 50","GO:0007367","segment polarity determination","segment polarity determination","BP",NA,"12/375","55/5278",3.07083636363636,0.0156885954069547,0.0156885954069547,12,12,"LOC126278128; LOC126281663; LOC126291991; LOC126292145; LOC126294945; LOC126294949; LOC126294955; LOC126295040; LOC126295087; LOC126295133; LOC126295191; LOC126295425","unannotated"
